0,New York,Los Angeles,Chicago,Miami,Dallas,Houston,Philadelphia,Atlanta,Washington,Boston,Phoenix,Detroit,Seattle,San Francisco,San Diego,Minneapolis,Brooklyn,Tampa,Denver,Queens,Baltimore,Las Vegas,St. Louis,Portland,Riverside,Orlando,Sacramento,San Juan,San Antonio,San Jose
New York,0.0,2456.816558661529,718.3183063753138,1091.6220277081002,1372.2769504682813,1420.7359108512971,79.395985900491,749.3145106142384,205.46212146069462,184.89231450923984,2141.4030016838196,488.5255846369799,2405.949105052856,2572.0341705611477,2426.723924211636,1020.7836701354115,3.3171106028512396,1001.919295447029,1625.6102970446723,7.690767971177172,171.68607375951262,2237.0160564443527,878.3283008301097,2442.2135041247516,2408.862273159677,942.7000061999802,2503.3205251073578,1609.7194005187512,1584.8525834202421,2552.269346123114
Los Angeles,2456.816558661529,0.0,1745.5103827175158,2343.6745229500625,1248.5569407623516,1379.1101705914366,2396.698692412412,1939.2471085366712,2302.6014450564703,2596.2330992655798,364.4359208763703,1983.1873988830807,955.1527766878785,338.09386771538794,115.49148711942043,1525.90490728097,2455.73699219801,2158.8738810230543,841.781738968246,2463.2029424024495,2321.839358770832,230.02581169987923,1591.0274408225296,820.469938661238,59.21041606968021,2210.8262775795674,351.70758351173856,3381.180654583898,1208.9465471110902,292.82735985155017
Chicago,718.3183063753138,1745.5103827175158,0.0,1188.1830083248772,798.6861860029758,936.9265407652382,666.8157789421156,585.592042196346,596.6500430845922,850.7245736151525,1444.661301594222,237.96474913913255,1731.2172883115663,1853.8299747307792,1722.2996354273807,353.6470153731613,717.6273957844023,1001.0281343947595,908.890755981454,724.159273499477,606.3995718769731,1522.7646442838309,259.10679502578427,1751.4347980862303,1699.519833909292,989.6409937060114,1785.447240608162,2059.4479719257934,1047.5171108799564,1833.9523644247965
Miami,1091.6220277081002,2343.6745229500625,1188.1830083248772,0.0,1107.2734124981066,967.2981306773338,1025.502260130943,606.2603782747696,925.3986160529579,1254.4114776595547,1979.2466716635029,1158.6620788709104,2729.8653870191474,2590.6302452581035,2264.78242999942,1511.2837954220115,1088.3064669489127,205.64380546876583,1718.7502572323122,1097.6243531861965,957.2240298324334,2183.976706127066,1062.7228808124557,2702.6195994585396,2285.0233083194603,198.5801070422304,2544.767138342627,1038.6418816524413,1148.29819399952,2554.825810726451
Dallas,1372.2769504682813,1248.5569407623516,798.6861860029758,1107.2734124981066,0.0,223.16964506540722,1298.0190805871234,715.8171640748798,1181.006778838795,1545.0185719052374,886.9191214256333,997.1083412738875,1680.465790613607,1483.4651253258085,1180.2671518184509,861.4910577471989,1370.1861757084152,914.7486651223732,659.6276976093181,1379.7467345819327,1209.0676034690289,1077.910634678663,544.5111757706057,1631.3236237829428,1191.0474613098424,963.4992401357946,1437.7027928221028,2145.04428125056,252.48361888526503,1448.0191181106766
Houston,1420.7359108512971,1379.1101705914366,936.9265407652382,967.2981306773338,223.16964506540722,0.0,1342.8855573372946,699.8432083986291,1219.431052070384,1601.3877448518615,1014.9861233957616,1105.808480141948,1887.552652563517,1641.7139992375674,1297.8165477582402,1055.0698801170834,1418.2624340813622,792.3542434094131,873.5566077518799,1428.4012865577677,1250.8636977558463,1231.9977397845444,678.1525288252369,1831.1542543494593,1320.1732551195792,852.3747775306091,1602.5620576578706,2002.6292295376902,189.63294107644595,1603.4831358114973
Philadelphia,79.395985900491,2396.698692412412,666.8157789421156,1025.502260130943,1298.0190805871234,1342.8855573372946,0.0,669.9186244288197,126.06791581741376,264.2541130893421,2077.1654830294415,445.4202369382772,2372.4953551705025,2519.5121419365487,2364.1336679187543,982.8284655626348,76.56316737990925,928.8837721672844,1569.6459369094175,87.04373611941976,92.51716422537864,2178.6019749615466,812.2991333630329,2404.3436821603877,2347.966065154818,871.3545040922771,2451.7203322991654,1588.0374220456847,1508.1956429591444,2498.7341058124284
Atlanta,749.3145106142384,1939.2471085366712,585.592042196346,606.2603782747696,715.8171640748798,699.8432083986291,669.9186244288197,0.0,543.8588093450021,934.1229632981019,1586.3073983930444,599.9488511499088,2176.2003553124446,2135.0490896038336,1881.7335180615753,905.5216805111137,746.4622912079553,415.43727552244917,1202.39186973622,756.957307101067,577.9890395715979,1746.7839165294527,467.5554356769723,2165.605149536982,1883.9128102632285,408.20663394829756,2078.82232064489,1552.404924492419,880.4507630093092,2104.916370418901
Washington,205.46212146069462,2302.6014450564703,596.6500430845922,925.3986160529579,1181.006778838795,1219.431052070384,126.06791581741376,543.8588093450021,0.0,390.27524179253624,1976.5453773559757,399.31774381700956,2322.395887537328,2437.8468538131447,2265.9528019917398,932.0879719638974,202.6266844633131,815.8166381650574,1484.1219834003693,213.1116133746302,35.06881644387704,2087.6326475856126,712.2902949571012,2346.9611056728577,2252.628389646512,761.8597743125753,2371.6741673135284,1561.9450406431904,1386.7713689513203,2415.4239494974254
Boston,184.89231450923984,2596.2330992655798,850.7245736151525,1254.4114776595547,1545.0185719052374,1601.3877448518615,264.2541130893421,934.1229632981019,390.27524179253624,0.0,2290.6959039478215,613.1656080085487,2485.2009517293436,2694.0100654060084,2571.7866755455484,1120.5361646255785,187.80832496447286,1177.1430063314056,1758.2672032808587,177.2867750771911,356.21299219133095,2373.067984498007,1036.2344610053308,2531.358623129151,2550.1292139702628,1115.2405079776179,2623.3745595575206,1678.9622866108461,1762.666265538715,2676.587273567416
Phoenix,2141.4030016838196,364.4359208763703,1444.661301594222,1979.2466716635029,886.9191214256333,1014.9861233957616,2077.1654830294415,1586.3073983930444,1976.5453773559757,2290.6959039478215,0.0,1681.9518169296161,1107.135425143251,648.7214210245452,295.43093192745397,1272.6198302874102,2140.0635959178517,1794.9452332941726,585.0444088384838,2148.127408209449,1998.0903370106687,257.2739650683734,1265.2168639342924,998.0902348736447,305.81967511742374,1847.5871670863048,626.8175298129676,3016.7764307122957,847.1755716187442,606.395279819582
Detroit,488.5255846369799,1983.1873988830807,237.96474913913255,1158.6620788709104,997.1083412738875,1105.808480141948,445.4202369382772,599.9488511499088,399.31774381700956,613.1656080085487,1681.9518169296161,0.0,1928.7615391712052,2085.849232708994,1960.2400056661095,537.9610491793169,488.18158928335254,994.9225959660121,1145.3196997851837,493.8235151199747,400.1439394434186,1759.9188957099461,455.652223343107,1958.995783028279,1937.3908423672146,965.9415631825855,2016.4337023978928,1935.3137725359343,1237.7076475365232,2067.070896760695
Seattle,2405.949105052856,955.1527766878785,1731.2172883115663,2729.8653870191474,1680.465790613607,1887.552652563517,2372.4953551705025,2176.2003553124446,2322.395887537328,2485.2009517293436,1107.135425143251,1928.7615391712052,0.0,681.695638645799,1057.5153626527201,1391.0962601026572,2406.243024086793,2524.689081836045,1023.531035742016,2410.034822584362,2327.3503260818457,865.6168457309487,1717.7568418317292,144.82694326258908,979.4798405334665,2551.214322722487,627.0457374404093,3728.4650637427344,1782.960219039016,713.4896402187469
San Francisco,2572.0341705611477,338.09386771538794,1853.8299747307792,2590.6302452581035,1483.4651253258085,1641.7139992375674,2519.5121419365487,2135.0490896038336,2437.8468538131447,2694.0100654060084,648.7214210245452,2085.849232708994,681.695638645799,0.0,453.5818049882231,1583.0234162474858,2571.3879193179623,2397.349843229435,955.1574265544353,2577.7840014355224,2452.8374076345317,409.8273357729781,1740.6293637503727,537.7727804966589,386.64735536069554,2442.9067955154096,77.2080783021768,3628.460861379755,1485.614373246186,45.349183377883264
San Diego,2426.723924211636,115.49148711942043,1722.2996354273807,2264.78242999942,1180.2671518184509,1297.8165477582402,2364.1336679187543,1881.7335180615753,2265.9528019917398,2571.7866755455484,295.43093192745397,1960.2400056661095,1057.5153626527201,453.5818049882231,0.0,1523.3822611150265,2425.4929540901007,2083.839344904416,832.081386131014,2433.311151385475,2286.650089704654,257.7227462885781,1553.7443983666547,925.91911140482,78.07877895688253,2138.105554236613,465.246146155657,3300.1498419591276,1122.5990355671563,408.318841310334
Minneapolis,1020.7836701354115,1525.90490728097,353.6470153731613,1511.2837954220115,861.4910577471989,1055.0698801170834,982.8284655626348,905.5216805111137,932.0879719638974,1120.5361646255785,1272.6198302874102,537.9610491793169,1391.0962601026572,1583.0234162474858,1523.3822611150265,0.0,1020.8022932530116,1314.9122020244924,692.1176348668129,1025.4130476574117,936.3170704186441,1296.3841315251293,464.02556579036457,1421.849300524983,1487.2872205412596,1313.6535812888537,1510.3533598361923,2411.5433027471336,1108.758715339794,1569.0197135965095
Brooklyn,3.3171106028512396,2455.73699219801,717.6273957844023,1088.3064669489127,1370.1861757084152,1418.2624340813622,76.56316737990925,746.4622912079553,202.6266844633131,187.80832496447286,2140.0635959178517,488.18158928335254,2406.243024086793,2571.3879193179623,2425.4929540901007,1020.8022932530116,0.0,998.638917036168,1624.7523232811775,10.52905911768644,168.94302171527573,2236.0334966581945,876.8278102181768,2442.3033378095897,2407.735142297777,939.3996862712986,2502.7228024783276,1607.2612353538796,1582.5274881784267,2551.5675709001566
Tampa,1001.919295447029,2158.8738810230543,1001.0281343947595,205.64380546876583,914.7486651223732,792.3542434094131,928.8837721672844,415.43727552244917,815.8166381650574,1177.1430063314056,1794.9452332941726,994.9225959660121,2524.689081836045,2397.349843229435,2083.839344904416,1314.9122020244924,998.638917036168,0.0,1515.4529904649808,1008.6813922692531,849.9286390217293,1992.647028250699,861.4485727220448,2498.608957235602,2100.6263466335854,75.23211137643776,2349.688878878296,1231.7948012875486,978.7459907992517,2362.420324992099
Denver,1625.6102970446723,841.781738968246,908.890755981454,1718.7502572323122,659.6276976093181,873.5566077518799,1569.6459369094175,1202.39186973622,1484.1219834003693,1758.2672032808587,585.0444088384838,1145.3196997851837,1023.531035742016,955.1574265544353,832.081386131014,692.1176348668129,1624.7523232811775,1515.4529904649808,0.0,1631.6866070921305,1500.1478699267811,615.5317540298886,786.406615451599,984.7649019247395,799.5625597100978,1548.867091223075,891.4651299184499,2738.111066722819,797.4912885320039,931.5285042339262
Queens,7.690767971177172,2463.2029424024495,724.159273499477,1097.6243531861965,1379.7467345819327,1428.4012865577677,87.04373611941976,756.957307101067,213.1116133746302,177.2867750771911,2148.127408209449,493.8235151199747,2410.034822584362,2577.7840014355224,2433.311151385475,1025.4130476574117,10.52905911768644,1008.6813922692531,1631.6866070921305,0.0,179.36558291591228,2243.268533646633,885.2505715213779,2446.692330594567,2415.31312741594,949.278737714225,2508.9939982897836,1611.1756013402298,1592.4614994647302,2558.105628904333
Baltimore,171.68607375951262,2321.839358770832,606.3995718769731,957.2240298324334,1209.0676034690289,1250.8636977558463,92.51716422537864,577.9890395715979,35.06881644387704,356.21299219133095,1998.0903370106687,400.1439394434186,2327.3503260818457,2452.8374076345317,2286.650089704654,936.3170704186441,168.94302171527573,849.9286390217293,1500.1478699267811,179.36558291591228,0.0,2105.7296702550047,733.0211833218742,2354.148833621554,2272.299421674608,795.3693318319243,2386.112342167532,1576.6460275176469,1417.0410522707027,2430.961577286374
Las Vegas,2237.0160564443527,230.02581169987923,1522.7646442838309,2183.976706127066,1077.910634678663,1231.9977397845444,2178.6019749615466,1746.7839165294527,2087.6326475856126,2373.067984498007,257.2739650683734,1759.9188957099461,865.6168457309487,409.8273357729781,257.7227462885781,1296.3841315251293,2236.0334966581945,1992.647028250699,615.5317540298886,2243.268533646633,2105.7296702550047,0.0,1378.4624896846458,748.9629094012398,199.1080161348202,2040.186221891832,376.6587473626468,3222.4287747884086,1076.4979829935103,371.67419650158575
St. Louis,878.3283008301097,1591.0274408225296,259.10679502578427,1062.7228808124557,544.5111757706057,678.1525288252369,812.2991333630329,467.5554356769723,712.2902949571012,1036.2344610053308,1265.2168639342924,455.652223343107,1717.7568418317292,1740.6293637503727,1553.7443983666547,464.02556579036457,876.8278102181768,861.4485727220448,786.406615451599,885.2505715213779,733.0211833218742,1378.4624896846458,0.0,1715.7155895360172,1540.608807235402,868.3662058469129,1677.8061910183817,2015.2709275221268,790.631026942421,1715.4681925403386
Portland,2442.2135041247516,820.469938661238,1751.4347980862303,2702.6195994585396,1631.3236237829428,1831.1542543494593,2404.3436821603877,2165.605149536982,2346.9611056728577,2531.358623129151,998.0902348736447,1958.995783028279,144.82694326258908,537.7727804966589,925.91911140482,1421.849300524983,2442.3033378095897,2498.608957235602,984.7649019247395,2446.692330594567,2354.148833621554,748.9629094012398,1715.7155895360172,0.0,848.2147559640518,2529.3476468155804,485.3529403119781,3714.3262393731675,1714.9877181497409,570.5873518162698
Riverside,2408.862273159677,59.21041606968021,1699.519833909292,2285.0233083194603,1191.0474613098424,1320.1732551195792,2347.966065154818,1883.9128102632285,2252.628389646512,2550.1292139702628,305.81967511742374,1937.3908423672146,979.4798405334665,386.64735536069554,78.07877895688253,1487.2872205412596,2407.735142297777,2100.6263466335854,799.5625597100978,2415.31312741594,2272.299421674608,199.1080161348202,1540.608807235402,848.2147559640518,0.0,2152.8805720145638,392.14053098010197,3322.3818273023285,1149.7607741637662,341.3346333336591
Orlando,942.7000061999802,2210.8262775795674,989.6409937060114,198.5801070422304,963.4992401357946,852.3747775306091,871.3545040922771,408.20663394829756,761.8597743125753,1115.2405079776179,1847.5871670863048,965.9415631825855,2551.214322722487,2442.9067955154096,2138.105554236613,1313.6535812888537,939.3996862712986,75.23211137643776,1548.867091223075,949.278737714225,795.3693318319243,2040.186221891832,868.3662058469129,2529.3476468155804,2152.8805720145638,0.0,2393.6321933835316,1190.886173961963,1040.256175750445,2408.7524412509756
Sacramento,2503.3205251073578,351.70758351173856,1785.447240608162,2544.767138342627,1437.7027928221028,1602.5620576578706,2451.7203322991654,2078.82232064489,2371.6741673135284,2623.3745595575206,626.8175298129676,2016.4337023978928,627.0457374404093,77.2080783021768,465.246146155657,1510.3533598361923,2502.7228024783276,2349.688878878296,891.4651299184499,2508.9939982897836,2386.112342167532,376.6587473626468,1677.8061910183817,485.3529403119781,392.14053098010197,2393.6321933835316,0.0,3581.4166360707536,1451.4827689972976,89.92255254258603
San Juan,1609.7194005187512,3381.180654583898,2059.4479719257934,1038.6418816524413,2145.04428125056,2002.6292295376902,1588.0374220456847,1552.404924492419,1561.9450406431904,1678.9622866108461,3016.7764307122957,1935.3137725359343,3728.4650637427344,3628.460861379755,3300.1498419591276,2411.5433027471336,1607.2612353538796,1231.7948012875486,2738.111066722819,1611.1756013402298,1576.6460275176469,3222.4287747884086,2015.2709275221268,3714.3262393731675,3322.3818273023285,1190.886173961963,3581.4166360707536,0.0,2179.041257051882,3593.020751299075
San Antonio,1584.8525834202421,1208.9465471110902,1047.5171108799564,1148.29819399952,252.48361888526503,189.63294107644595,1508.1956429591444,880.4507630093092,1386.7713689513203,1762.666265538715,847.1755716187442,1237.7076475365232,1782.960219039016,1485.614373246186,1122.5990355671563,1108.758715339794,1582.5274881784267,978.7459907992517,797.4912885320039,1592.4614994647302,1417.0410522707027,1076.4979829935103,790.631026942421,1714.9877181497409,1149.7607741637662,1040.256175750445,1451.4827689972976,2179.041257051882,0.0,1445.7529634241553
San Jose,2552.269346123114,292.82735985155017,1833.9523644247965,2554.825810726451,1448.0191181106766,1603.4831358114973,2498.7341058124284,2104.916370418901,2415.4239494974254,2676.587273567416,606.395279819582,2067.070896760695,713.4896402187469,45.349183377883264,408.318841310334,1569.0197135965095,2551.5675709001566,2362.420324992099,931.5285042339262,2558.105628904333,2430.961577286374,371.67419650158575,1715.4681925403386,570.5873518162698,341.3346333336591,2408.7524412509756,89.92255254258603,3593.020751299075,1445.7529634241553,0.0
